#{"t_start": 1772813032.8105128, "env_id": "MountainCarRepSpace-v0"}
r,l,t
-3239.237873,1000,46.672378
-3234.395439,1000,91.980283
-3213.189989,1000,146.697367
-3223.295536,1000,194.346423
-3159.109858,1000,249.672214
-3157.402633,1000,295.710316
-3085.970306,1000,349.363245
-3162.09274,1000,394.776572
-3099.375921,1000,447.106339
-3099.552778,1000,495.09921
-3089.419527,1000,582.212336
-3087.06821,1000,629.745342
-3059.018677,1000,689.719255
-3032.386373,1000,736.779357
-3034.80655,1000,793.313232
-3036.21676,1000,838.912228
-2983.222409,1000,890.038292
-2970.543478,1000,932.641172
-2950.771079,1000,983.342255
-2932.876868,1000,1025.565276
-2898.576964,1000,1099.806322
-2876.912207,1000,1142.297262
-2849.239353,1000,1196.683232
-2828.781927,1000,1240.08729
-2830.271996,1000,1291.276471
-2798.95235,1000,1334.276236
-2793.976729,1000,1384.824221
-2757.556716,1000,1429.600239
-2761.183646,1000,1480.267315
-2690.654071,1000,1522.735954
-2709.085301,1000,1587.020282
-2686.711383,1000,1630.2953
-2697.497443,1000,1680.281595
-2669.350004,1000,1728.144341
-2672.868701,1000,1780.709228
-2647.194407,1000,1822.438545
-2642.876947,1000,1874.035206
-2638.199823,1000,1917.941319
-2622.136213,1000,1968.327322
-2618.329753,1000,2011.642266
-2625.155589,1000,2085.63227
-2604.863767,1000,2133.303247
-2599.287348,1000,2175.144193
-2600.326228,1000,2224.877247
-2597.439797,1000,2268.344249
-2596.230717,1000,2319.021251
-2604.835049,1000,2362.72226
-2595.066398,1000,2413.228359
-2588.180684,1000,2456.3627
-2583.447024,1000,2507.450244
-2587.735655,1000,2562.970223
-2588.035954,1000,2613.521276
-2581.585583,1000,2655.9476
-2569.030846,1000,2706.163403
-2584.102052,1000,2749.782276
-2567.71369,1000,2801.086346
-2576.855648,1000,2845.246234
-2576.188918,1000,2896.133656
-2578.564629,1000,2938.47825
-2576.967874,1000,2990.014301
-2577.879542,1000,3060.583356
-2567.649135,1000,3112.783257
-2579.242578,1000,3156.439249
-2578.252551,1000,3208.836359
-2577.238128,1000,3253.776248
-2577.541236,1000,3304.575248
-2577.708219,1000,3347.275193
-2571.34435,1000,3399.379267
-2577.738536,1000,3442.712337
-2578.042138,1000,3493.991241
-2577.115244,1000,3560.229851
-2570.934873,1000,3609.950259
-2568.497179,1000,3653.486306
-2577.819187,1000,3703.351654
-2576.855751,1000,3747.982911
-2571.367001,1000,3796.512192
-2577.738622,1000,3839.185236
-2577.230926,1000,3888.604338
-2571.200541,1000,3937.178325
-2578.366337,1000,3986.471237
-2572.656127,1000,4044.06225
-2577.853477,1000,4094.498258
-2576.974298,1000,4136.986299
-2577.221051,1000,4187.297275
-2580.238556,1000,4230.80971
-2557.545011,1000,4274.276278
-2574.755344,1000,4323.560301
-2564.16801,1000,4366.168061
-2577.16935,1000,4417.359271
-2577.213678,1000,4459.433243
-2576.854,1000,4538.302265
-2576.869481,1000,4584.212276
-2576.858887,1000,4639.61847
-2570.373546,1000,4687.093227
-2570.541068,1000,4747.565279
-2577.175267,1000,4790.338383
-2577.139303,1000,4842.222273
-2577.163363,1000,4889.838336
-2577.210162,1000,4944.555851
-2569.449378,1000,4994.618628
-2576.961276,1000,5064.473311
-2563.461682,1000,5106.888326
-2576.959708,1000,5161.31034
-2575.775208,1000,5205.398224
-2577.228275,1000,5257.751271
-2564.572388,1000,5305.138223
-2577.160928,1000,5354.808281
-2559.218746,1000,5397.303303
-2576.852294,1000,5447.122306
-2577.150211,1000,5490.71626
-2576.892185,1000,5568.54627
-2576.968984,1000,5611.99418
-2576.934952,1000,5662.690305
-2576.86323,1000,5705.860283
-2567.6972,1000,5756.366286
-2562.580007,1000,5799.271282
-2567.747839,1000,5851.34133
-2574.707007,1000,5895.459193
-2568.606564,1000,5945.568197
-2564.588953,1000,5988.591341
-2565.819081,1000,6065.31725
-2565.510835,1000,6108.332221
-2564.890911,1000,6159.681247
