2026-03-12 19:42:56,174 INFO    MainThread:373511 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_setup.py:_flush():81] Configure stats pid to 373511
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/mamad/Hubby/JEPA/JEPA_GYM/MountainCar/Preconception/wandb/run-20260312_194256-wy8jr6gt/logs/debug.log
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/mamad/Hubby/JEPA/JEPA_GYM/MountainCar/Preconception/wandb/run-20260312_194256-wy8jr6gt/logs/debug-internal.log
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_init.py:init():844] calling init triggers
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-12 19:42:56,175 INFO    MainThread:373511 [wandb_init.py:init():892] starting backend
2026-03-12 19:42:56,467 INFO    MainThread:373511 [wandb_init.py:init():895] sending inform_init request
2026-03-12 19:42:56,471 INFO    MainThread:373511 [wandb_init.py:init():903] backend started and connected
2026-03-12 19:42:56,472 INFO    MainThread:373511 [wandb_init.py:init():973] updated telemetry
2026-03-12 19:42:56,479 INFO    MainThread:373511 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-12 19:42:57,392 INFO    MainThread:373511 [wandb_init.py:init():1042] starting run threads in backend
2026-03-12 19:42:57,587 INFO    MainThread:373511 [wandb_run.py:_console_start():2524] atexit reg
2026-03-12 19:42:57,587 INFO    MainThread:373511 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-12 19:42:57,587 INFO    MainThread:373511 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-12 19:42:57,587 INFO    MainThread:373511 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-12 19:42:57,591 INFO    MainThread:373511 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-12 19:42:57,591 INFO    MainThread:373511 [wandb_run.py:_config_callback():1403] config_cb None None {'_fields': {'embed_dim': 4, 'lr_scheduler': 'cosine', 'cosine_T_max': 1000000, 'cosine_eta_min': 1e-06, 'plateau_factor': 0.5, 'plateau_patience': 10, 'plateau_min_lr': 1e-06, 'val_ratio': 0.1, 'dropout': 0.0, 'weight_decay': 1e-05, 'max_epochs': 2000, 'hidden_dim': 256, 'lr': 0.0003, 'ema_tau': 0.99, 'obs0_loss_weight': 1.0, 'seed': 42, 'batch_size': 128}, '_locked': False, '_type_safe': True, '_convert_dict': True, '_allow_dotted_keys': False, '_sort_keys': True}
2026-03-12 19:42:58,267 INFO    MainThread:373511 [wandb_run.py:_config_callback():1403] config_cb None None {'obs_dim': 2, 'action_dim': 1, 'embed_dim': 4, 'hidden_dim': 256, 'lr': 0.0003, 'ema_tau': 0.99, 'weight_decay': 1e-05, 'dropout': 0.0, 'lr_scheduler': 'cosine', 'cosine_T_max': 1000000, 'cosine_eta_min': 1e-06, 'plateau_factor': 0.5, 'plateau_patience': 10, 'plateau_min_lr': 1e-06, 'obs0_loss_weight': 1.0}
2026-03-12 19:48:27,701 INFO    wandb-AsyncioManager-main:373511 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-12 19:48:27,701 INFO    wandb-AsyncioManager-main:373511 [mailbox.py:close():155] Closing mailbox, abandoning 2 handles.
